,From LCSC,,,,,,,
Order Qty.,LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Description,RoHS,Unit Price,
3,C383211,LESD5D5.0CT1G,LRC,SOD-523,Zener Diode 5.6V 18.6V 5V Bi-Directional SOD-523  ESD Protection Devices ROHS,YES,0.0152,
1,C82544,1N5819HW-7-F,Diodes Incorporated,SOD-123,Diode 40V 450mV@1A 1A SOD-123  Schottky Barrier Diodes (SBD) ROHS,YES,0.0208,
5,C513772,CS1005X7R104K500NR,Samwha Capacitor,402,50V 100nF Capacitor ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,0.0019,
2,C2912598,HoAR0805-1/8W-5.1KR-0.1%-TCR25,Milliohm,805,5k1 Resistor 125mW Ceramic resistor ±25ppm/℃ ±0.1% 5.1kΩ 0805  Chip Resistor - Surface Mount ROHS,YES,0.0506,
2,C2886570,SK6812mini,OPSCO Optoelectronics,SMD,SMD Light Emitting Diodes (LED) ROHS,YES,0.1927,
2,C2886903,TL3305BF260QG,E-Switch,SMD,Switch NO 50mA 100MΩ 200000 Times 12V 260gf Brick nogging SPST SMD  Tactile Switches ROHS,YES,0.1807,
1,C2913202,ESP32-S3-WROOM-1-N16R8,Espressif Systems,"SMD,18x25.5mm"," ESP32-S3-WROOM SMD,18x25.5mm  WiFi Modules ROHS",YES,5.1132,
1,C2849095 (Could be any value of 165ohms or more!),PTFR0805B200RP9,Resistor.Today,805,200ohm Resistor 0.13W Thin Film Resistor ±25ppm/℃ ±0.1% 200Ω 0805  Chip Resistor - Surface Mount ROHS,YES,0.1403,
1,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,USB-C Connector 5A 1 Surface Mount 16P Female -25℃~+85℃ Type-C SMD  USB Connectors ROHS,YES,0.0523,
1,C5120765,AMS1117-3.3V,MSKSEMI,SOT-223,1A Fixed 3.3V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,YES,0.0427,
,,,,,,,,
,From DigiKey,,,,,,,
,Digi-Key Part #,Manufacturer Part Number,Description,Backorder,Unit Price,,,
4,1276-6454-1-ND,CL21A106KAYNNNG,10uF/25V Capacitor CAP CER 10UF 25V X5R 0805,0,$0.07 ,,,
1,1276-1034-1-ND,CL10A105KO8NNNC,1uF/16V Capacitor CAP CER 1UF 16V X5R 0603,0,$0.01 ,,,
1,RNCP0603FTD10K0CT-ND,RNCP0603FTD10K0,10kohm Resistor RES 10K OHM 1% 1/8W 0603,0,$0.02 ,,,
,,,,,,,,
,OPTIONAL:,,,,,,,
1,47k5 ohm resistor for the voltage divider if you'd like to monitor battery levels.,,,,,,,
,"If you want to try and build the L2G2ISTR circuit, you will need:",One 0u1F capacitor,One 10nF capacitor,One 1uF capacitor,One 100pF capacitor,L2G2ISTR IC from Digikey,,
